;id_event;disease;serotype;latitude;longitude;locality;country;region;observation_date;report_date;species;diagnosis_source;humans_affected;humans_deaths;diagnosis_status;disease_type;serotype_type;species_copy;bird_type;family;scientific_name
16;346710;Influenza - Avian;H5N1 HPAI;46.5317;16.4381;Lendava;Slovenia;Europe;2023-02-18;2023-02-24;Wild,Mute Swan:Cygnus olor(Anatidae),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Mute Swan:Cygnus olor(Anatidae),;Wild;Anatidae;Cygnus olor
17;347111;Influenza - Avian;H5 HPAI;-23.4641;-70.4919;La Rinconada;Chile;Americas;2023-02-18;2023-03-01;Wild,South American sea lion (Otaria flavescens),;OIE;NA;NA;Confirmed;HPAI;H5;Wild,South American sea lion (Otaria flavescens),;Wild;NA;American sea
18;345346;Influenza - Avian;H5N1 HPAI;31.86785;-90.42683;Copiah;United States of America;Americas;2023-02-17;2023-02-17;Domestic,Unspecified bird,;National authorities;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
19;345347;Influenza - Avian;H5N1 HPAI;42.20428;-76.31068;Tioga;United States of America;Americas;2023-02-17;2023-02-17;Domestic,Unspecified bird,;National authorities;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
20;346673;Influenza - Avian;H5N1 HPAI;46.55637;19.521271;TÃ¡zlÃ¡r;Hungary;Europe;2023-02-17;2023-02-21;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
21;346667;Influenza - Avian;H5N1 HPAI;46.57233;19.486939;TÃ¡zlÃ¡r;Hungary;Europe;2023-02-17;2023-02-21;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
22;346672;Influenza - Avian;H5N1 HPAI;46.561767;19.663297;Szank;Hungary;Europe;2023-02-17;2023-02-21;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
23;346698;Influenza - Avian;H5N1 HPAI;44.8275;10.3111;Parma;Italy;Europe;2023-02-17;2023-02-22;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
24;346697;Influenza - Avian;H5N1 HPAI;44.7778;10.2903;Parma;Italy;Europe;2023-02-17;2023-02-22;Wild,Eurasian Collared Dove (Streptopelia decaocto),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Eurasian Collared Dove (Streptopelia decaocto),;Wild;NA;Streptopelia decaocto
25;346696;Influenza - Avian;H5N1 HPAI;44.77953;10.903537;Carpi;Italy;Europe;2023-02-17;2023-02-22;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
26;346700;Influenza - Avian;H5N1 HPAI;45.6;9.2993;Villasanta;Italy;Europe;2023-02-17;2023-02-22;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
27;346731;Influenza - Avian;H5N1 HPAI;41.136;-100.763;Lincoln County;United States of America;Americas;2023-02-17;2023-02-24;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
28;345677;Influenza - Avian;H5 HPAI;-33.64521;-62.67214;BELLVILLE;Argentina;Americas;2023-02-16;2023-02-19;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
29;346699;Influenza - Avian;H5N1 HPAI;44.97225;11.029455;San Giacomo Delle Segnate;Italy;Europe;2023-02-16;2023-02-22;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
31;347200;Influenza - Avian;H5N1 HPAI;56.3;-3.09;Bow of Fife, Fife  ;U.K. of Great Britain and Northern Ireland;Europe;2023-02-16;2023-02-24;Wild,Pink-footed Goose (Anser brachyrhynchus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Pink-footed Goose (Anser brachyrhynchus),;Wild;NA;Anser brachyrhynchus
32;347199;Influenza - Avian;H5N1 HPAI;56.28;-2.93;Rosewells, Fife  ;U.K. of Great Britain and Northern Ireland;Europe;2023-02-16;2023-02-24;Wild,Buzzard,;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Buzzard,;Wild;NA;NA
33;346711;Influenza - Avian;H5N1 HPAI;46.5317;16.4381;Lendava;Slovenia;Europe;2023-02-16;2023-02-24;Wild,Mute Swan:Cygnus olor(Anatidae),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Mute Swan:Cygnus olor(Anatidae),;Wild;Anatidae;Cygnus olor
34;345348;Influenza - Avian;H5N1 HPAI;33.23618;-93.23284;Columbia;United States of America;Americas;2023-02-15;2023-02-15;Domestic,Unspecified bird,;National authorities;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
35;345679;Influenza - Avian;H5 HPAI;-32.2696;-63.2463;Laguna de Las Mojarras;Argentina;Americas;2023-02-15;2023-02-20;Wild,Anatidae (incognita),;OIE;NA;NA;Confirmed;HPAI;H5;Wild,Anatidae (incognita),;Wild;Anatidae;NA
36;346670;Influenza - Avian;H5N1 HPAI;46.56025;19.65379;Szank;Hungary;Europe;2023-02-15;2023-02-21;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
37;346669;Influenza - Avian;H5N1 HPAI;46.47573;19.74358;Kiskunmajsa;Hungary;Europe;2023-02-15;2023-02-21;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
38;345350;Influenza - Avian;H5N1 HPAI;36.29929;-94.22754;Benton;United States of America;Americas;2023-02-14;2023-02-14;Domestic,Unspecified bird,;National authorities;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
39;345349;Influenza - Avian;H5N1 HPAI;27.90941;-82.23673;Hillsborough;United States of America;Americas;2023-02-14;2023-02-14;Domestic,Unspecified bird,;National authorities;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
40;344676;Influenza - Avian;H5 HPAI;-34.798;-54.568;Maldonado;Uruguay;Americas;2023-02-14;2023-02-15;Wild,Swan,;National authorities;NA;NA;Confirmed;HPAI;H5;Wild,Swan,;Wild;NA;NA
41;345714;Influenza - Avian;H5N1 HPAI;51.1985;4.6374;Zandhoven;Belgium;Europe;2023-02-14;2023-02-17;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
42;345823;Influenza - Avian;H5N1 HPAI;52.20409;18.55814;KoÅ‚o     ;Poland;Europe;2023-02-14;2023-02-20;Wild,Mute Swan:Cygnus olor(Anatidae),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Mute Swan:Cygnus olor(Anatidae),;Wild;Anatidae;Cygnus olor
43;346668;Influenza - Avian;H5N1 HPAI;46.551046;19.790439;JÃ¡szszentlÃ¡szlÃ³;Hungary;Europe;2023-02-14;2023-02-21;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
44;346719;Influenza - Avian;H5N1 HPAI;47.357;8.548;Seefeld;Switzerland;Europe;2023-02-14;2023-02-22;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
45;346717;Influenza - Avian;H5N1 HPAI;47.333;8.545;Kilchberg;Switzerland;Europe;2023-02-14;2023-02-22;Wild,Common Tern (Sterna hirundo),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Common Tern (Sterna hirundo),;Wild;NA;Sterna hirundo
46;346718;Influenza - Avian;H5N1 HPAI;47.366;8.541;Seefeld;Switzerland;Europe;2023-02-14;2023-02-22;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
47;346678;Influenza - Avian;H5N1 HPAI;52.25;-8.6093;Kilcolman nature reserve;Ireland;Europe;2023-02-14;2023-02-22;Wild,Whooper Swan:Cygnus cygnus(Anatidae),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Whooper Swan:Cygnus cygnus(Anatidae),;Wild;Anatidae;Cygnus cygnus
48;346703;Influenza - Avian;H5N1 HPAI;45.580845;9.942427;Cologne;Italy;Europe;2023-02-14;2023-02-22;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
49;346701;Influenza - Avian;H5N1 HPAI;45.425053;11.009895;Verona;Italy;Europe;2023-02-14;2023-02-22;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
50;347201;Influenza - Avian;H5N1 HPAI;52.56;-3.29;Bettws, Powys  ;U.K. of Great Britain and Northern Ireland;Europe;2023-02-14;2023-02-24;Wild,Buzzard,;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Buzzard,;Wild;NA;NA
51;346732;Influenza - Avian;H5N1 HPAI;40.04;-76.303;Lancaster County;United States of America;Americas;2023-02-14;2023-02-24;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
52;344536;Influenza - Avian;H5N1 HPAI;47.156;8.125;Oberkirch;Switzerland;Europe;2023-02-13;2023-02-13;Wild,Caspian gull (Larus cachinnans),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Caspian gull (Larus cachinnans),;Wild;NA;Caspian gull
53;345352;Influenza - Avian;H5N1 HPAI;36.31044;-93.55641;Carroll;United States of America;Americas;2023-02-13;2023-02-13;Domestic,Unspecified bird,;National authorities;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
54;345351;Influenza - Avian;H5N1 HPAI;39.80778;-95.10801;Doniphan;United States of America;Americas;2023-02-13;2023-02-13;Domestic,Unspecified bird,;National authorities;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
55;346077;Influenza - Avian;H5N1 HPAI;47.346;8.548;Seefeld;Switzerland;Europe;2023-02-13;2023-02-16;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
56;346081;Influenza - Avian;H5N1 HPAI;47.364;8.676;Greifensee;Switzerland;Europe;2023-02-13;2023-02-16;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
57;346083;Influenza - Avian;H5N1 HPAI;47.368;8.536;Enge;Switzerland;Europe;2023-02-13;2023-02-16;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
58;346082;Influenza - Avian;H5N1 HPAI;47.352;8.553;Seefeld;Switzerland;Europe;2023-02-13;2023-02-16;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
59;346075;Influenza - Avian;H5N1 HPAI;47.316;8.584;KÃŒsnacht;Switzerland;Europe;2023-02-13;2023-02-16;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
60;346076;Influenza - Avian;H5N1 HPAI;47.368;8.542;Seefeld;Switzerland;Europe;2023-02-13;2023-02-16;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
61;346080;Influenza - Avian;H5N1 HPAI;47.338;8.536;Wollishofen;Switzerland;Europe;2023-02-13;2023-02-16;Wild,Buzzard,;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Buzzard,;Wild;NA;NA
62;345819;Influenza - Avian;H5N1 HPAI;51.558833;20.833032;Ratoszyn     ;Poland;Europe;2023-02-13;2023-02-20;Wild,Phasianus colchicus (Common pheasant) - Phasanidae,;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Phasianus colchicus (Common pheasant) - Phasanidae,;Wild;Phasanidae;Phasianus colchicus
63;346706;Influenza - Avian;H5N1 HPAI;45.157876;10.759409;Mantova;Italy;Europe;2023-02-13;2023-02-22;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
64;347352;Influenza - Avian;H5N1 HPAI;-33.7032;-71.6181;Centro de Rescate Fundo Tricao;Chile;Americas;2023-02-13;2023-03-03;Wild,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Unspecified bird,;Wild;NA;Unspecified bird
65;344657;Influenza - Avian;H5N5 HPAI;23.62273;120.4926;Dalin Township;Taiwan (Province of China);Asia;2023-02-12;2023-02-14;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N5;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
66;347196;Influenza - Avian;H5N1 HPAI;56.12;-4.01;Stirling, Stirling;U.K. of Great Britain and Northern Ireland;Europe;2023-02-12;2023-02-17;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
67;346705;Influenza - Avian;H5N1 HPAI;45.424845;10.99578;Verona;Italy;Europe;2023-02-12;2023-02-22;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
68;346734;Influenza - Avian;H5N1 HPAI;31.86;-90.397;Copiah County;United States of America;Americas;2023-02-12;2023-02-24;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
69;344580;Influenza - Avian;H5N1 HPAI;15.9587;-88.6187;Departamento de Izabal, Municipio de Puerto Barrios, Aldea El Quetzalito.;Guatemala;Americas;2023-02-11;2023-02-13;Wild,Brown pelican (Pelecanus occidentalis),;National authorities;NA;NA;Confirmed;HPAI;H5N1;Wild,Brown pelican (Pelecanus occidentalis),;Wild;NA;Brown pelican
70;344675;Influenza - Avian;HPAI;-22.4027;-65.9707;Laguna de los Pozuelos, Provincia de Jujuy;Argentina;Americas;2023-02-11;2023-02-15;Wild,Goose,;National authorities;NA;NA;Confirmed;HPAI;HPAI;Wild,Goose,;Wild;NA;NA
71;345678;Influenza - Avian;H5 HPAI;-22.4027;-65.9707;Laguna de los Pozuelos, Provincia de Jujuy;Argentina;Americas;2023-02-11;2023-02-19;Wild,Andean goose (Chloephaga melanoptera),;OIE;NA;NA;Confirmed;HPAI;H5;Wild,Andean goose (Chloephaga melanoptera),;Wild;NA;Andean goose
72;346707;Influenza - Avian;H5N1 HPAI;45.442772;11.004205;Verona;Italy;Europe;2023-02-11;2023-02-22;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
73;344750;Influenza - Avian;H5 HPAI;-23.731944;-70.439167;Playa El Huascar;Chile;Americas;2023-02-10;2023-02-15;Wild,South American sea lion (Otaria flavescens),Wild,Unspecified bird,;National authorities;NA;NA;Confirmed;HPAI;H5;Wild,South American sea lion (Otaria flavescens),Wild,Unspecified bird,;Wild;NA;American sea
74;346071;Influenza - Avian;H5N1 HPAI;47.585;9.344;Uttwil;Switzerland;Europe;2023-02-10;2023-02-16;Wild,Yellow-legged Gull ,;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Yellow-legged Gull ,;Wild;NA;NA
75;346078;Influenza - Avian;H5N1 HPAI;47.365;8.539;Seefeld;Switzerland;Europe;2023-02-10;2023-02-16;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
76;346070;Influenza - Avian;H5N1 HPAI;47.351;8.554;Seefeld;Switzerland;Europe;2023-02-10;2023-02-16;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
77;345718;Influenza - Avian;H5N1 HPAI;50.939501;5.368127;Hasselt;Belgium;Europe;2023-02-10;2023-02-17;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
78;345553;Influenza - Avian;H5N1 HPAI;45.25613;-69.15993;Maine;United States of America;Americas;2023-02-10;2023-02-21;Wild,Unspecified bird,;National authorities;NA;NA;Confirmed;HPAI;H5N1;Wild,Unspecified bird,;Wild;NA;Unspecified bird
79;345563;Influenza - Avian;H5N1 HPAI;35.21453;-79.48098;North Carolina;United States of America;Americas;2023-02-10;2023-02-21;Wild,Unspecified bird,;National authorities;NA;NA;Confirmed;HPAI;H5N1;Wild,Unspecified bird,;Wild;NA;Unspecified bird
80;346675;Influenza - Avian;H5N1 HPAI;52.6767;-8.58134;Raheen;Ireland;Europe;2023-02-10;2023-02-22;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
81;346704;Influenza - Avian;H5N1 HPAI;45.45211;10.669542;Peschiera Del Garda;Italy;Europe;2023-02-10;2023-02-22;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
82;346521;Influenza - Avian;H5N1 HPAI;55.3127;9.9132;Aborg;Denmark;Europe;2023-02-10;2023-02-23;Wild,Buzzard,;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Buzzard,;Wild;NA;NA
83;347354;Influenza - Avian;H5N1 HPAI;-37.1159;-73.1522;SPR Playa Colcura;Chile;Americas;2023-02-10;2023-03-03;Wild,Peruvian pelican (Pelecanus thagus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Peruvian pelican (Pelecanus thagus),;Wild;NA;Pelecanus thagus
84;346695;Influenza - Avian;H5N1 HPAI;44.91956;11.603131;Occhiobello;Italy;Europe;2023-02-09;2023-02-15;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
85;346079;Influenza - Avian;H5N1 HPAI;47.36;8.546;Seefeld;Switzerland;Europe;2023-02-09;2023-02-16;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
86;345728;Influenza - Avian;H5N1 HPAI;45.26;-73.87;Beauharnois-Salaberry Regional County Municipality (QC-IP31);Canada;Americas;2023-02-09;2023-02-16;Domestic,Duck,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Duck,;Domestic;NA;NA
87;345815;Influenza - Avian;H5N1 HPAI;36.0483;139.8887;Bando-City1;Japan;Asia;2023-02-09;2023-02-16;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
88;344872;Influenza - Avian;H5N1 HPAI;-1.164789;-78.518725;BARRIO GUANGUIBANA;Ecuador;Americas;2023-02-09;2023-02-16;Domestic,Chicken,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Chicken,;Domestic;NA;NA
89;345814;Influenza - Avian;H5N1 HPAI;35.6656;140.5045;Yokoshibahikari-Town1;Japan;Asia;2023-02-09;2023-02-16;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
90;345538;Influenza - Avian;H5N1 HPAI;63.09952;-151.99317;Alaska;United States of America;Americas;2023-02-09;2023-02-21;Wild,Unspecified bird,;National authorities;NA;NA;Confirmed;HPAI;H5N1;Wild,Unspecified bird,;Wild;NA;Unspecified bird
91;346674;Influenza - Avian;H5N1 HPAI;52.25;-8.6094;Kilcolman nature reserve;Ireland;Europe;2023-02-09;2023-02-22;Wild,Whooper Swan:Cygnus cygnus(Anatidae),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Whooper Swan:Cygnus cygnus(Anatidae),;Wild;Anatidae;Cygnus cygnus
92;346702;Influenza - Avian;H5N1 HPAI;45.0918;9.90639;Monticelli d' Ongina;Italy;Europe;2023-02-09;2023-02-22;Wild,Black headed gull (Chroicocephalus ridibundus),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Black headed gull (Chroicocephalus ridibundus),;Wild;NA;Chroicocephalus ridibundus
93;347202;Influenza - Avian;H5N1 HPAI;51.56;-1.23;Blewbury, Oxfordshire  ;U.K. of Great Britain and Northern Ireland;Europe;2023-02-09;2023-02-24;Wild,Buzzard,;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Buzzard,;Wild;NA;NA
94;347351;Influenza - Avian;H5N1 HPAI;-20.4725;-70.1626;Playa Seremeño;Chile;Americas;2023-02-09;2023-03-03;Wild,Guanay cormorant (Leucocarbo bougainvilliorum),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Guanay cormorant (Leucocarbo bougainvilliorum),;Wild;NA;Guanay cormorant
