;id_event;disease;serotype;latitude;longitude;locality;country;region;observation_date;report_date;species;diagnosis_source;humans_affected;humans_deaths;diagnosis_status;disease_type;serotype_type;species_copy;bird_type;family;scientific_name
1;347104;Influenza - Avian;H5 HPAI;-33.3924;-55.8419;San Gregorio de Polanco in Tacuarembó ;Uruguay;Americas;2023-03-03;2023-03-04;Domestic,Unspecified bird,;National authorities;NA;NA;Confirmed;HPAI;H5;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
2;346744;Influenza - Avian;H5 HPAI;-39.03665;-67.3075;Mainque';Argentina;Americas;2023-02-26;2023-02-28;Domestic,Chicken,;National authorities;NA;NA;Confirmed;HPAI;H5;Domestic,Chicken,;Domestic;NA;NA
3;347347;Influenza - Avian;H5 HPAI;-18.3975;-70.336944;Humedal Rio Lluta;Chile;Americas;2023-02-25;2023-03-07;Wild,Sea otter (Enhydra lutris),;OIE;NA;NA;Confirmed;HPAI;H5;Wild,Sea otter (Enhydra lutris),;Wild;NA;Sea otter
4;347187;Influenza - Avian;H5N1 HPAI;52.7;7.51;Haselünne;Germany;Europe;2023-02-24;2023-02-27;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
5;347192;Influenza - Avian;H5N1 HPAI;46.23085;14.51712;Zalog pri Cerkljah na Gorenjskem;Slovenia;Europe;2023-02-24;2023-02-27;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
6;346786;Influenza - Avian;H5 HPAI;-35.9923;-60.05522;General Alvear;Argentina;Americas;2023-02-24;2023-03-01;Domestic,Unspecified bird,;National authorities;NA;NA;Confirmed;HPAI;H5;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
7;347359;Influenza - Avian;H5N1 HPAI;11.362982;105.407199;Torb Sdarch village;Cambodia;Asia;2023-02-24;2023-03-06;Wild,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Unspecified bird,;Wild;NA;Unspecified bird
8;346498;Influenza - Avian;H5N1 HPAI;50.9485;4.14828;Aalst;Belgium;Europe;2023-02-21;2023-02-24;Domestic,Chicken,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Chicken,;Domestic;NA;NA
9;346712;Influenza - Avian;H5N1 HPAI;45.7677;14.3624;Cerknica;Slovenia;Europe;2023-02-21;2023-02-24;Wild,Mute Swan:Cygnus olor(Anatidae),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Mute Swan:Cygnus olor(Anatidae),;Wild;Anatidae;Cygnus olor
10;346708;Influenza - Avian;H5N1 HPAI;46.9317;26.3426;DOAMNA OANTU;Romania;Europe;2023-02-21;2023-02-24;Wild,Mute Swan:Cygnus olor(Anatidae),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Mute Swan:Cygnus olor(Anatidae),;Wild;Anatidae;Cygnus olor
11;347348;Influenza - Avian;H5N1 HPAI;-21.3121;-70.0656;Playa y Caleta Bahía Chipana;Chile;Americas;2023-02-21;2023-03-03;Wild,Gull,;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Gull,;Wild;NA;NA
12;346709;Influenza - Avian;H5N1 HPAI;45.768;14.3623;Cerknica;Slovenia;Europe;2023-02-20;2023-02-24;Wild,Mute Swan:Cygnus olor(Anatidae),;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Mute Swan:Cygnus olor(Anatidae),;Wild;Anatidae;Cygnus olor
13;347349;Influenza - Avian;H5N1 HPAI;-33.8013;-71.7258;Estero El Yali;Chile;Americas;2023-02-20;2023-03-03;Wild,Swan,;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild,Swan,;Wild;NA;NA
14;347186;Influenza - Avian;H5N1 HPAI;53.66;8.55;Wurster Nordseeküste;Germany;Europe;2023-02-18;2023-02-21;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
15;346671;Influenza - Avian;H5N1 HPAI;46.569793;19.692088;Szank;Hungary;Europe;2023-02-18;2023-02-21;Domestic,Unspecified bird,;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic,Unspecified bird,;Domestic;NA;Unspecified bird
