;id_event;disease;serotype;latitude;longitude;locality;country;region;observation_date;report_date;species;diagnosis_source;humans_affected;humans_deaths;diagnosis_status;disease_type;serotype_type;bird_type;family;scientific_name
12;296803;Influenza - Avian;H5N8 HPAI;53.58;10.1;Hamburg;Germany;Europe;2021-05-04;2021-06-08;wild,accipitridae (accipitridae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;accipitridae;NA
13;296802;Influenza - Avian;H5N1 HPAI;54.33;8.6;Landkreis Nordfriesland;Germany;Europe;2021-04-23;2021-06-08;wild,accipitridae (accipitridae), wild, laridae (unidentified):laridae (incognita)(laridae), wild, anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;accipitridae;NA
14;296801;Influenza - Avian;H5N1 HPAI;53.83;9.48;Landkreis Steinburg;Germany;Europe;2021-04-20;2021-06-08;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;anatidae;NA
15;296764;Influenza - Avian;H5N1 HPAI;57.408129;22.942199;Rojas county;Latvia;Europe;2021-06-02;2021-06-07;wild,herring gull:larus argentatus (laridae));OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;laridae;NA
16;296762;Influenza - Avian;H5N4 HPAI;52.95;9.16;Landkreis Verden;Germany;Europe;2021-04-16;2021-06-04;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N4;Wild;NA;NA
17;296761;Influenza - Avian;H5N1 HPAI;53.59;7.2;Landkreis Aurich;Germany;Europe;2021-05-06;2021-06-04;wild,accipitridae (unidentified):accipitridae (incognita)(accipitridae));OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;accipitridae;NA
18;296760;Influenza - Avian;H5N1 HPAI;53.66;7.61;Landkreis Wittmund;Germany;Europe;2021-03-23;2021-06-04;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;anatidae;NA
19;296759;Influenza - Avian;H5N1 HPAI;53.17;7.31;Landkreis Leer;Germany;Europe;2021-04-14;2021-06-04;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;anatidae;NA
20;296758;Influenza - Avian;H5N1 HPAI;52.7;7.29;Landkreis Emsland;Germany;Europe;2021-04-19;2021-06-04;wild,anatidae (unidentified):anatidae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;anatidae;NA
21;296757;Influenza - Avian;H5N1 HPAI;53.48;8.04;Landkreis Friesland;Germany;Europe;2021-04-21;2021-06-04;wild,charadriidae (unidentified):charadriidae (incognita)(charadriidae), wild, laridae (unidentified):laridae (incognita)(laridae), wild, strigidae (unidentified):strigidae (incognita)(strigidae), wild, accipitridae (unidentified):accipitridae (incognita)(accipitridae), wild, anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;charadriidae;NA
22;296756;Influenza - Avian;H5N1 HPAI;53.61;9.53;Landkreis Stade;Germany;Europe;2021-04-23;2021-06-04;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;anatidae;NA
23;296755;Influenza - Avian;H5N1 HPAI;53.18;7.87;Landkreis Ammerland;Germany;Europe;2021-04-30;2021-06-04;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;anatidae;NA
24;296591;Influenza - Avian;H5N5 HPAI;49.21;11.16;Landkreis Roth;Germany;Europe;2021-02-24;2021-06-02;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N5;Wild;anatidae;NA
25;296590;Influenza - Avian;H5N5 HPAI;49.7;10.82;Landkreis Erlangen-Höchstadt;Germany;Europe;2021-03-02;2021-06-02;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N5;Wild;NA;NA
26;296589;Influenza - Avian;H5N8 HPAI;53.892;9.201;Landkreis Dithmarschen;Germany;Europe;2021-02-18;2021-06-02;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
27;296588;Influenza - Avian;H5N8 HPAI;54.36;10.1;Kiel;Germany;Europe;2021-03-18;2021-06-02;wild,anserinae (unidentified):anserinae (incognita)(anatidae), wild, swan);OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
28;296587;Influenza - Avian;H5N8 HPAI;53.93;10.31;Landkreis Segeberg;Germany;Europe;2021-03-09;2021-06-02;wild,anatidae (unidentified):anatidae (incognita)(anatidae), wild, house sparrow, wild, accipitridae (unidentified):accipitridae (incognita)(accipitridae), wild, anserinae (unidentified):anserinae (incognita)(anatidae), wild, swan, wild, cormorant);OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
29;296586;Influenza - Avian;H5N8 HPAI;54.76;9.38;Flensburg;Germany;Europe;2021-03-18;2021-06-02;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
30;296585;Influenza - Avian;H5N8 HPAI;53.88;10.79;Lübeck;Germany;Europe;2021-03-25;2021-06-02;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
31;296584;Influenza - Avian;H5N8 HPAI;54.17;10.01;Landkreis Rendsburg-Eckernförde;Germany;Europe;2021-05-03;2021-06-02;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
32;296583;Influenza - Avian;H5N1 HPAI;61.878;29.8427;Kitee;Finland;Europe;2021-05-17;2021-06-01;wild,barnacle goose:branta leucopsis (anatidae));OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;anatidae;NA
33;296573;Influenza - Avian;H5N8 HPAI;55.109398;24.25161;RAGOZIAI;Lithuania;Europe;2021-05-19;2021-05-31;domestic, unspecified bird;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Unspecified bird;NA
34;296572;Influenza - Avian;H5N8 HPAI;55.269;23.482;GYLIAI;Lithuania;Europe;2021-05-19;2021-05-31;domestic, unspecified bird;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Unspecified bird;NA
35;296571;Influenza - Avian;H5N8 HPAI;55.224108;22.376046;BALTRUSAICIAI;Lithuania;Europe;2021-05-19;2021-05-31;domestic, unspecified bird;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Unspecified bird;NA
36;296570;Influenza - Avian;H5N8 HPAI;55.281612;22.239878;DAPKISKIAI;Lithuania;Europe;2021-05-25;2021-05-31;domestic, unspecified bird;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Unspecified bird;NA
37;296569;Influenza - Avian;H5N8 HPAI;54.289754;23.337294;BUDVIETIS;Lithuania;Europe;2021-05-27;2021-05-31;domestic, unspecified bird;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Unspecified bird;NA
38;296560;Influenza - Avian;H5N5 HPAI;23.68967;120.27361;Baozhong Township;Taiwan (Province of China);Asia;2021-05-09;2021-06-02;domestic, chicken;OIE;NA;NA;Confirmed;HPAI;H5N5;Domestic;Phasianidae;NA
39;296559;Influenza - Avian;H5N5 HPAI;23.62248;120.22815;Sihu Township;Taiwan (Province of China);Asia;2021-05-17;2021-06-02;domestic, goose;OIE;NA;NA;Confirmed;HPAI;H5N5;Domestic;Anatidae;NA
40;296547;Influenza - Avian;H5N1 HPAI;10.3756;106.2737;Long Hung;Viet Nam;Asia;2021-05-08;2021-05-29;domestic, unspecified bird;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic;Unspecified bird;NA
41;296546;Influenza - Avian;H5N1 HPAI;11.8076;108.7607;so the;Viet Nam;Asia;2021-05-10;2021-05-29;domestic, unspecified bird;OIE;NA;NA;Confirmed;HPAI;H5N1;Domestic;Unspecified bird;NA
42;296545;Influenza - Avian;H5 HPAI;46.7156;31.9741;Lymany;Ukraine;Europe;2021-02-26;2021-05-28;domestic, unspecified bird;OIE;NA;NA;Confirmed;HPAI;H5;Domestic;Unspecified bird;NA
43;296544;Influenza - Avian;H5 HPAI;47.8862;31.1178;Ivanivka;Ukraine;Europe;2020-12-28;2021-05-28;domestic, unspecified bird;OIE;NA;NA;Confirmed;HPAI;H5;Domestic;Unspecified bird;NA
44;296543;Influenza - Avian;H5 HPAI;47.1586;32.0471;Novomatviivske;Ukraine;Europe;2020-12-08;2021-05-28;domestic, unspecified bird;OIE;NA;NA;Confirmed;HPAI;H5;Domestic;Unspecified bird;NA
45;296542;Influenza - Avian;H5N8 HPAI;53.05;8.72;bremen;Germany;Europe;2021-05-23;2021-05-28;domestic, chicken;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Phasianidae;NA
46;296541;Influenza - Avian;H5N8 HPAI;51.2;10.42;Landkreis Unstrut-Hainich-Kreis;Germany;Europe;2021-03-11;2021-05-27;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
47;296540;Influenza - Avian;H5N8 HPAI;50.99;11.29;Weimar;Germany;Europe;2021-03-16;2021-05-27;wild,accipitridae (accipitridae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;accipitridae;NA
48;296526;Influenza - Avian;H5N8 HPAI;31.300555;91.768611;Bangcuo Lake National Wetland Park, Luoma Town;China;Asia;2021-05-12;2021-05-28;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
49;296525;Influenza - Avian;H5N8 HPAI;31.909941;91.538088;Cuona Lake, Zharen Town;China;Asia;2021-05-12;2021-05-28;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
50;296524;Influenza - Avian;H5N8 HPAI;52.14;11.33;Landkreis Börde;Germany;Europe;2021-03-02;2021-05-27;wild,anatidae (unidentified):anatidae (incognita)(anatidae), wild, heron, wild, anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
51;296523;Influenza - Avian;H5N8 HPAI;51.84;12.59;Wittenberg;Germany;Europe;2021-03-09;2021-05-27;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
52;296522;Influenza - Avian;H5N8 HPAI;52.41;11.95;Landkreis Stendal;Germany;Europe;2021-03-12;2021-05-27;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
53;296521;Influenza - Avian;H5N8 HPAI;52.71;11.49;Landkreis Altmarkkreis Salzwedel;Germany;Europe;2021-03-15;2021-05-27;wild, owl;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
54;296520;Influenza - Avian;H5N8 HPAI;51.65;12.44;Landkreis Anhalt-Bitterfeld;Germany;Europe;2021-03-17;2021-05-27;wild,accipitridae (accipitridae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;accipitridae;NA
55;296519;Influenza - Avian;H5N8 HPAI;48.6316;6.3041;saint nicolas de port;France;Europe;2021-04-20;2021-05-27;wild,peregrin falcon:falco peregrinus (falconidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;falconidae;NA
56;296435;Influenza - Avian;H5N8 HPAI;50.81;12.53;Landkreis Zwickau;Germany;Europe;2021-03-16;2021-05-27;wild,anatidae (unidentified):anatidae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
57;296434;Influenza - Avian;H5N8 HPAI;51.03;13.83;Dresden;Germany;Europe;2021-03-02;2021-05-27;wild,anatidae (unidentified):anatidae (incognita)(anatidae), wild, anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
58;296433;Influenza - Avian;H5N8 HPAI;51.34;12.97;Landkreis Nordsachsen;Germany;Europe;2021-03-04;2021-05-27;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
59;296432;Influenza - Avian;H5N8 HPAI;51.07;13.02;Landkreis Mittelsachsen;Germany;Europe;2021-03-12;2021-05-27;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
60;296431;Influenza - Avian;H5N8 HPAI;50.88;13.67;Landkreis Sächsische Schweiz-Osterzgebirge;Germany;Europe;2021-02-19;2021-05-27;wild,anserinae (unidentified):anserinae (incognita)(anatidae), wild, anatidae (unidentified):anatidae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
61;296430;Influenza - Avian;H5N8 HPAI;51.19;13.69;Landkreis Meißen;Germany;Europe;2021-03-03;2021-05-27;wild,anserinae (unidentified):anserinae (incognita)(anatidae), wild, accipitridae (accipitridae), wild, swan);OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
62;296429;Influenza - Avian;H5N8 HPAI;51.34;14.87;Landkreis Görlitz;Germany;Europe;2021-02-26;2021-05-27;wild,swan,wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
63;296428;Influenza - Avian;H5N8 HPAI;51.29;14.14;Landkreis Bautzen;Germany;Europe;2021-02-26;2021-05-27;wild,anserinae (unidentified):anserinae (incognita)(anatidae), wild, swan);OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
64;296427;Influenza - Avian;H5N8 HPAI;50.85;12.75;Limbach-Oberfrohna;Germany;Europe;2021-03-03;2021-05-27;wild,phasianidae (unidentified):phasianidae (incognita)(phasianidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;phasianidae;NA
65;296426;Influenza - Avian;H5N8 HPAI;27.671097;85.269709;Kirtipur Municipality-9;Nepal;Asia;2021-05-16;2021-05-26;domestic, turkey;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;NA;NA
66;296425;Influenza - Avian;H5N8 HPAI;27.668757;85.267978;Kirtipur municipality-4;Nepal;Asia;2021-05-22;2021-05-26;domestic, turkey;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;NA;NA
67;296424;Influenza - Avian;H5N8 HPAI;27.706169;85.207735;chandragiri municipality-2;Nepal;Asia;2021-05-04;2021-05-26;domestic, turkey;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;NA;NA
68;296423;Influenza - Avian;H5N1 HPAI;51.97;7.29;Landkreis Coesfeld;Germany;Europe;2021-04-29;2021-05-27;wild,accipitridae (accipitridae));OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;accipitridae;NA
69;296422;Influenza - Avian;H5N4 HPAI;54.637;13.237;Landkreis Vorpommern-Rügen;Germany;Europe;2021-03-11;2021-05-26;wild, gull;OIE;NA;NA;Confirmed;HPAI;H5N4;Wild;NA;NA
70;296311;Influenza - Avian;H5N8 HPAI;49.58;8.36;Bobenheim-Roxheim;Germany;Europe;2021-01-20;2021-05-27;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
71;296310;Influenza - Avian;H5N8 HPAI;49.576;8.42;Landkreis Rhein-Pfalz-Kreis;Germany;Europe;2021-03-09;2021-05-27;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
72;296309;Influenza - Avian;H5N8 HPAI;53.85;13.69;Anklam;Germany;Europe;2021-03-03;2021-05-26;wild,phasianidae (unidentified):phasianidae (incognita)(phasianidae), wild, anatidae (unidentified):anatidae (incognita)(anatidae), wild, anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;phasianidae;NA
73;296308;Influenza - Avian;H5N8 HPAI;53.54;13.25;Landkreis Mecklenburgische Seenplatte;Germany;Europe;2021-02-26;2021-05-26;wild,accipitridae (accipitridae), wild, swan);OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;accipitridae;NA
74;296307;Influenza - Avian;H5N8 HPAI;53.46;12.27;Landkreis Ludwigslust-Parchim;Germany;Europe;2021-03-05;2021-05-26;wild,swan,wild,anserinae (unidentified):anserinae (incognita)(anatidae), wild, accipitridae (accipitridae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
75;296306;Influenza - Avian;H5N8 HPAI;53.89;12.45;Landkreis Rostock;Germany;Europe;2021-03-17;2021-05-26;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
76;296305;Influenza - Avian;H5N8 HPAI;53.84;13.63;Landkreis Vorpommern-Greifswald;Germany;Europe;2021-02-26;2021-05-26;wild, gull, wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
77;296304;Influenza - Avian;H5N8 HPAI;54.32;13.08;Landkreis Vorpommern-Rügen;Germany;Europe;2021-02-18;2021-05-26;wild,accipitridae (accipitridae), wild, heron, wild, cormorant, wild, swan, wild, anserinae (unidentified):anserinae (incognita)(anatidae), wild, anatidae (unidentified):anatidae (incognita)(anatidae), wild, gull);OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;accipitridae;NA
78;296303;Influenza - Avian;H5N8 HPAI;53.89;11.47;Landkreis Nordwestmecklenburg;Germany;Europe;2021-02-19;2021-05-26;wild,swan,wild,anserinae (unidentified):anserinae (incognita)(anatidae), wild, unspecified bird, wild, gull, wild, accipitridae (accipitridae), wild, cormorant);OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
79;296302;Influenza - Avian;H5N1 HPAI;48.9;12.52;Landkreis Straubing-Bogen;Germany;Europe;2021-02-22;2021-05-25;wild,anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;anatidae;NA
80;296301;Influenza - Avian;H5N1 HPAI;49.54;12.14;Landkreis Schwandorf;Germany;Europe;2021-03-09;2021-05-25;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;NA;NA
81;296300;Influenza - Avian;H5N8 HPAI;34.803516;126.955505;Gidong-ri;Republic of Korea;Asia;2021-03-21;2021-05-22;domestic, duck;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Anatidae;NA
82;296299;Influenza - Avian;H5N8 HPAI;35.038691;126.813616;deungsu-ri;Republic of Korea;Asia;2021-03-23;2021-05-22;domestic, duck;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Anatidae;NA
83;296298;Influenza - Avian;H5N8 HPAI;34.783977;126.973688;yangchon-ri;Republic of Korea;Asia;2021-04-06;2021-05-22;domestic, duck;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Anatidae;NA
84;296297;Influenza - Avian;H5N8 HPAI;37.1008;127.8808;sotae-ri;Republic of Korea;Asia;2021-03-10;2021-05-22;domestic, chicken;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Phasianidae;NA
85;296296;Influenza - Avian;H5N8 HPAI;37.0989;127.8857;juchi-ri;Republic of Korea;Asia;2021-03-11;2021-05-22;domestic, chicken;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Phasianidae;NA
86;296295;Influenza - Avian;H5N8 HPAI;37.166169;127.84783;jupo-ri;Republic of Korea;Asia;2021-02-23;2021-05-22;domestic, chicken;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Phasianidae;NA
87;296294;Influenza - Avian;H5N8 HPAI;37.998466;127.227641;geosa-ri;Republic of Korea;Asia;2021-02-26;2021-05-22;domestic, chicken;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Phasianidae;NA
88;296293;Influenza - Avian;H5N8 HPAI;34.989775;126.783819;oksan-ri;Republic of Korea;Asia;2021-03-10;2021-05-22;domestic, chicken;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Phasianidae;NA
89;296292;Influenza - Avian;H5N8 HPAI;37.153266;126.901816;gujang-ri;Republic of Korea;Asia;2021-02-17;2021-05-22;domestic, chicken;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Phasianidae;NA
90;296291;Influenza - Avian;H5N8 HPAI;34.9024;128.331727;Oryun-ri;Republic of Korea;Asia;2021-02-18;2021-05-22;domestic, turkey;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;NA;NA
91;296290;Influenza - Avian;H5N8 HPAI;37.110333;127.592641;eoseok-ri;Republic of Korea;Asia;2021-02-22;2021-05-22;domestic, chicken;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Phasianidae;NA
92;296289;Influenza - Avian;H5N8 HPAI;36.833133;127.758141;aseong-ri;Republic of Korea;Asia;2021-02-17;2021-05-22;domestic, duck;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Anatidae;NA
93;296231;Influenza - Avian;H5N8 HPAI;54.01;9.11;Gudendorf;Germany;Europe;2020-12-27;2021-05-04;domestic, goose;OIE;NA;NA;Confirmed;HPAI;H5N8;Domestic;Anatidae;NA
94;296196;Influenza - Avian;H5N8 HPAI;49.72;8.45;Landkreis Bergstraße;Germany;Europe;2021-03-11;2021-05-25;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
95;296195;Influenza - Avian;H5N8 HPAI;50.45;9.35;Freiensteinau;Germany;Europe;2020-12-08;2021-05-25;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
96;296194;Influenza - Avian;H5N8 HPAI;49.78;8.45;Landkreis Groß-Gerau;Germany;Europe;2021-03-02;2021-05-25;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
97;296193;Influenza - Avian;H5N8 HPAI;50.71;9.22;Landkreis Vogelsbergkreis;Germany;Europe;2021-03-02;2021-05-25;wild, owl, wild, heron;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
98;296192;Influenza - Avian;H5N8 HPAI;50.1237;8.7745;Offenbach am Main;Germany;Europe;2021-03-04;2021-05-25;wild,anserinae (unidentified):anserinae (incognita)(anatidae), wild, swan);OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
99;296191;Influenza - Avian;H5N8 HPAI;50.09;8.65;Frankfurt am Main;Germany;Europe;2021-03-08;2021-05-25;wild,anserinae (unidentified):anserinae (incognita)(anatidae), wild, swan);OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;anatidae;NA
100;296190;Influenza - Avian;H5N8 HPAI;50.42;9.4;Freiensteinau;Germany;Europe;2021-01-03;2021-05-25;wild,phasianidae (unidentified):phasianidae (incognita)(phasianidae));OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;phasianidae;NA
101;296189;Influenza - Avian;H5N8 HPAI;49.69;13.229;Zb ch;Czech Republic;Europe;2021-03-13;2021-05-24;wild, goose;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
102;296188;Influenza - Avian;H5N8 HPAI;49.774;13.405;Velký Bolevecký rybník;Czech Republic;Europe;2021-03-13;2021-05-24;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
103;296187;Influenza - Avian;H5N8 HPAI;49.771;13.294;Plze  - Malesice;Czech Republic;Europe;2021-03-14;2021-05-24;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
104;296186;Influenza - Avian;H5N8 HPAI;49.768;13.297;Plze  - Malesice;Czech Republic;Europe;2021-03-15;2021-05-24;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
105;296185;Influenza - Avian;H5N8 HPAI;49.766;13.299;"Plze  - Malesice; Mže (river)";Czech Republic;Europe;2021-03-15;2021-05-24;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
106;296184;Influenza - Avian;H5N8 HPAI;49.764;13.304;"Plze  - K imice; Mže (river)";Czech Republic;Europe;2021-03-15;2021-05-24;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
107;296183;Influenza - Avian;H5N8 HPAI;49.136;14.179;Vod any;Czech Republic;Europe;2021-04-19;2021-05-24;wild, stork;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
108;296182;Influenza - Avian;H5N8 HPAI;49.761;13.313;"Plze  - Rad ice; Mže (river)";Czech Republic;Europe;2021-03-13;2021-05-24;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
