;id_event;disease;serotype;latitude;longitude;locality;country;region;observation_date;report_date;species;diagnosis_source;humans_affected;humans_deaths;diagnosis_status;disease_type;serotype_type;bird_type;family;scientific_name
1;296987;Influenza - Avian;H5N8 HPAI;39.07;109.84;Hongjiannao National Nature Reserve;China;Asia;NA;2021-06-09;wild, unspecified bird;National authorities;NA;NA;Confirmed;HPAI;H5N8;Wild;NA;NA
2;296985;Influenza - Avian;H5N8 HPAI;41.473045;19.736505;Fusha-Kruja;Albania;Europe;NA;2021-06-08;domestic, unspecified bird;National authorities;NA;NA;Confirmed;HPAI;H5N8;Domestic;Unspecified bird;NA
3;296984;Influenza - Avian;H5N8 HPAI;41.342365;19.90695;Dajt ;Albania;Europe;NA;2021-06-08;domestic, unspecified bird;National authorities;NA;NA;Confirmed;HPAI;H5N8;Domestic;Unspecified bird;NA
4;296983;Influenza - Avian;H5N8 HPAI;42.353962;20.023641;Bujan;Albania;Europe;NA;2021-06-08;domestic, unspecified bird;National authorities;NA;NA;Confirmed;HPAI;H5N8;Domestic;Unspecified bird;NA
5;296927;Influenza - Avian;H5N1 HPAI;61.429;28.437;Ruokolahti;Finland;Europe;2021-05-16;2021-06-08;wild, swan;OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;NA;NA
6;296926;Influenza - Avian;H5N2 HPAI;25.0287;121.4941;wanhua district;Taiwan (Province of China);Asia;2021-03-09;2021-06-09;domestic, unspecified bird;OIE;NA;NA;Confirmed;HPAI;H5N2;Domestic;Unspecified bird;NA
7;296925;Influenza - Avian;H5N2 HPAI;25.0287;121.4941;wanhua district;Taiwan (Province of China);Asia;2021-05-05;2021-06-09;domestic, unspecified bird;OIE;NA;NA;Confirmed;HPAI;H5N2;Domestic;Unspecified bird;NA
8;296924;Influenza - Avian;H5N2 HPAI;25.0287;121.4941;wanhua district;Taiwan (Province of China);Asia;2021-05-11;2021-06-09;domestic, unspecified bird;OIE;NA;NA;Confirmed;HPAI;H5N2;Domestic;Unspecified bird;NA
9;296902;Influenza - Avian;H5N1 HPAI;54.0;8.96;Landkreis Nordfriesland;Germany;Europe;2021-04-21;2021-06-07;wild,anatidae (unidentified):anatidae (incognita)(anatidae), wild, laridae (unidentified):laridae (incognita)(laridae), wild, anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;anatidae;NA
10;296830;Influenza - Avian;H5N1 HPAI;53.52;9.92;Hamburg;Germany;Europe;2021-04-20;2021-06-08;wild,laridae (unidentified):laridae (incognita)(laridae), wild, anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;laridae;NA
11;296829;Influenza - Avian;H5N1 HPAI;54.33;8.6;Landkreis Nordfriesland;Germany;Europe;2021-04-23;2021-06-08;wild,accipitridae (accipitridae), wild, laridae (unidentified):laridae (incognita)(laridae), wild, anserinae (unidentified):anserinae (incognita)(anatidae));OIE;NA;NA;Confirmed;HPAI;H5N1;Wild;accipitridae;NA
